actions_executed, tiles_visited,
1,1,
2,1,
3,1,
4,2,
5,2,
6,3,
7,3,
8,3,
9,3,
10,4,
11,4,
12,4,
13,4,
14,5,
15,5,
16,5,
17,6,
18,6,
19,6,
20,6,
21,6,
22,6,
23,7,
24,7,
25,7,
26,7,
27,7,
28,8,
29,8,
30,8,
31,8,
32,8,
33,8,
34,8,
35,8,
36,8,
37,8,
38,8,
39,8,
40,8,
41,8,
42,8,
43,8,
44,8,
45,8,
46,8,
47,8,
48,8,
49,8,
50,8,
51,8,
52,8,
53,8,
54,8,
55,8,
56,8,
57,8,
58,8,
59,8,
60,8,
61,8,
62,9,
63,9,
64,9,
65,9,
66,9,
67,10,
68,10,
69,10,
70,10,
71,10,
72,10,
73,11,
74,11,
75,12,
76,12,
77,12,
78,13,
79,13,
80,14,
81,14,
82,15,
83,15,
84,15,
85,15,
86,16,
87,17,
88,17,
89,17,
90,17,
91,17,
92,17,
93,17,
94,17,
95,17,
96,17,
97,18,
98,18,
99,18,
100,18,
101,18,
102,18,
103,18,
104,18,
105,19,
106,19,
107,19,
108,19,
109,20,
110,21,
111,21,
112,21,
113,21,
114,21,
115,21,
116,22,
117,23,
118,23,
119,23,
120,23,
121,24,
122,24,
123,24,
124,24,
125,24,
126,25,
127,25,
128,25,
129,25,
130,25,
131,25,
132,25,
133,25,
134,25,
135,25,
136,25,
137,26,
138,27,
139,27,
140,27,
141,27,
142,27,
143,27,
144,27,
145,27,
146,27,
147,27,
148,27,
149,27,
150,28,
151,28,
152,28,
153,28,
154,28,
155,29,
156,30,
157,30,
158,30,
159,30,
160,30,
161,30,
162,30,
163,31,
164,32,
165,32,
166,32,
167,32,
168,32,
169,32,
170,32,
171,32,
172,32,
173,32,
174,32,
175,32,
176,32,
177,32,
178,32,
179,32,
180,32,
181,32,
182,32,
183,32,
184,32,
185,32,
186,32,
187,32,
188,32,
189,32,
190,32,
191,32,
192,32,
193,32,
194,32,
195,32,
196,32,
197,32,
198,32,
199,32,
200,32,
201,32,
202,32,
203,33,
204,34,
205,35,
206,35,
207,35,
208,36,
209,37,
210,38,
211,39,
212,39,
213,40,
214,41,
215,41,
216,41,
217,41,
218,41,
219,41,
220,41,
221,41,
222,42,
223,42,
224,42,
225,42,
226,42,
227,42,
228,42,
229,42,
230,42,
231,43,
232,43,
233,43,
234,43,
235,43,
236,44,
237,44,
238,44,
239,44,
240,44,
241,45,
242,45,
243,45,
244,45,
245,45,
246,45,
247,45,
248,45,
249,45,
250,45,
251,45,
252,45,
253,45,
254,45,
255,45,
256,45,
257,45,
258,45,
259,45,
260,45,
261,45,
262,45,
263,46,
264,46,
265,46,
266,46,
267,46,
268,47,
269,47,
270,47,
271,47,
272,47,
273,47,
274,48,
275,49,
276,50,
277,50,
278,50,
279,50,
280,50,
281,50,
282,50,
283,50,
284,50,
285,50,
286,50,
287,50,
288,50,
289,50,
290,50,
291,50,
292,50,
293,50,
294,50,
295,51,
296,51,
297,51,
298,51,
299,51,
300,51,
301,51,
302,51,
303,52,
304,53,
305,53,
306,53,
307,53,
308,53,
309,53,
310,53,
311,53,
312,53,
313,53,
314,53,
315,53,
316,53,
317,53,
318,53,
319,53,
320,53,
321,53,
322,53,
323,53,
324,53,
325,53,
326,53,
327,53,
328,53,
329,53,
330,54,
331,54,
332,54,
333,54,
334,54,
335,54,
336,54,
337,54,
338,54,
339,54,
340,54,
341,54,
342,54,
343,54,
344,54,
345,54,
346,54,
347,54,
348,54,
349,54,
350,54,
351,54,
352,54,
353,54,
354,54,
355,54,
356,54,
357,54,
358,54,
359,54,
360,54,
361,54,
362,54,
363,54,
364,54,
365,54,
366,54,
367,54,
368,54,
369,54,
370,54,
371,54,
372,54,
373,54,
374,54,
375,54,
376,54,
377,54,
378,54,
379,54,
380,54,
381,54,
382,54,
383,54,
384,54,
385,55,
386,55,
387,55,
388,55,
389,55,
390,55,
391,55,
392,55,
393,55,
394,55,
395,55,
396,55,
397,55,
398,56,
399,57,
400,58,
401,58,
402,58,
403,58,
404,58,
405,58,
406,58,
407,58,
408,59,
409,59,
410,59,
411,59,
412,59,
413,60,
414,60,
415,60,
416,60,
417,60,
418,60,
419,60,
420,61,
421,61,
422,61,
423,62,
424,63,
425,63,
426,64,
427,64,
428,64,
429,64,
430,64,
431,64,
432,64,
433,65,
434,65,
435,65,
436,65,
437,65,
438,65,
439,66,
440,66,
441,66,
442,66,
443,66,
444,66,
445,66,
446,66,
447,66,
448,66,
449,66,
450,67,
451,68,
452,69,
453,69,
454,69,
455,69,
456,70,
457,70,
458,70,
459,70,
460,70,
461,70,
462,70,
463,71,
464,72,
465,73,
466,73,
467,73,
468,73,
469,73,
470,73,
471,73,
472,73,
473,73,
474,73,
475,73,
476,73,
477,73,
478,73,
479,73,
480,73,
481,73,
482,73,
483,73,
484,73,
485,73,
486,73,
487,74,
488,74,
489,75,
490,75,
491,75,
492,75,
493,75,
494,75,
495,76,
496,76,
497,76,
498,77,
499,78,
500,79,
